episode,total_reward
1,13.698138
2,21.697524
3,49.864005
4,18.046285
5,16.928226
6,15.989433
7,14.798681
8,16.293788
9,53.837127
10,21.009081
11,24.719105
12,19.709068
13,37.311685
14,20.738594
15,8.958404
16,16.360086
17,16.112902
18,10.933545
19,21.217714
20,7.883853
21,11.765207
22,24.532238
23,49.064844
24,17.780772
25,20.02703
26,19.632005
27,10.955778
28,21.643887
29,22.205398
30,18.777135
31,12.438827
32,12.463669
33,27.19117
34,17.551969
35,7.747505
36,25.739979
37,15.099891
38,25.630395
39,12.361142
40,21.539504
41,28.066327
42,23.659654
43,8.800992
44,17.483678
45,54.230395
46,9.842257
47,24.927515
48,7.768441
49,8.829871
50,13.254206
51,13.399338
52,10.991229
53,50.717003
54,18.91989
55,15.576027
56,12.052058
57,18.412587
58,9.04756
59,13.730634
60,10.344377
61,12.520203
62,19.333489
63,14.516655
64,16.378399
65,35.999071
66,15.327074
67,9.236401
68,10.562465
69,10.558682
70,21.66724
71,42.780639
72,8.655248
73,18.482405
74,13.248663
75,17.18175
76,10.579938
77,25.137356
78,7.855934
79,27.637896
80,9.521409
81,20.804331
82,13.421427
83,11.364123
84,9.767584
85,12.587643
86,9.855562
87,13.227644
88,17.105538
89,9.324973
90,13.013782
91,9.363136
92,37.922975
93,10.536503
94,13.167595
95,7.774694
96,22.396424
97,12.506322
98,13.145717
99,12.539361
100,13.014919
101,10.510386
102,23.219261
103,17.81801
104,10.55121
105,18.561226
106,16.050119
107,12.773268
108,11.627268
109,10.67539
110,13.895753
111,14.378116
112,20.933083
113,18.532679
114,15.40489
115,10.373837
116,22.993518
117,15.353192
118,8.476807
119,11.397249
120,22.659975
121,20.958972
122,12.018597
123,22.211238
124,9.513174
125,21.098034
126,14.751568
127,23.217907
128,13.330265
129,6.987465
130,15.324893
131,21.861579
132,34.802705
133,12.182446
134,17.083348
135,52.228678
136,14.122865
137,25.909211
138,17.261604
139,46.41589
140,18.383808
141,34.111525
142,26.37066
143,24.261743
144,25.0396
145,10.764028
146,22.149052
147,16.125344
148,23.785723
149,12.762035
150,22.292307
151,34.400653
152,44.142189
153,10.266532
154,19.193903
155,13.365365
156,27.45205
157,33.7577
158,76.316685
159,25.721391
160,37.745817
161,17.548113
162,11.082291
163,39.050382
164,9.743315
165,16.143345
166,39.350867
167,19.078682
168,25.065638
169,31.7066
170,31.217076
171,40.123801
172,21.594699
173,64.921122
174,24.731258
175,32.171795
176,46.61496
177,25.209723
178,16.438402
179,23.537118
180,51.495791
181,39.289393
182,79.070141
183,30.29261
184,55.577398
185,73.743554
186,70.804502
187,62.881105
188,41.601856
189,39.421786
190,29.619752
191,61.859147
192,62.604713
193,68.922535
194,146.215786
195,59.643673
196,67.455337
197,52.40306
198,181.116847
199,59.004987
200,76.032426
201,69.51897
202,55.719574
203,96.339184
204,56.499841
205,68.040145
206,174.536211
207,95.797759
208,11.156255
209,136.707801
210,97.636649
211,251.906722
212,149.222778
213,343.852537
214,169.190421
215,174.037856
216,129.551131
217,269.07703
218,247.95116
219,146.262303
220,86.958584
221,115.590414
222,153.503941
223,127.916613
224,115.408164
225,155.52717
226,152.876401
227,124.655437
228,125.9474
229,131.225133
230,187.805073
231,172.544339
232,149.420989
233,75.51116
234,142.769593
235,91.907549
236,86.529682
237,175.174104
238,106.169866
239,120.575796
240,109.723012
241,94.168457
242,142.533693
243,132.983923
244,107.678142
245,104.066893
246,191.476593
247,225.033264
248,90.229896
249,87.901167
250,138.561529
251,121.727505
252,178.957456
253,135.293098
254,128.852855
255,137.0824
256,136.552205
257,169.274159
258,136.61909
259,162.968182
260,141.296105
261,148.136444
262,186.137448
263,162.934688
264,137.399372
265,212.25888
266,166.780291
267,158.958711
268,266.831671
269,148.452706
270,169.650997
271,138.665565
272,168.719913
273,148.488387
274,143.063882
275,189.062966
276,130.966699
277,163.424922
278,157.01828
279,161.388288
280,161.937115
281,208.409124
282,146.529547
283,126.884642
284,161.665769
285,135.116606
286,146.060927
287,142.901081
288,168.24998
289,189.173378
290,163.337943
291,195.511671
292,159.193797
293,178.403219
294,168.892109
295,157.117665
296,162.066469
297,185.932198
298,167.404522
299,149.190819
300,183.820245
301,145.33417
302,148.276667
303,185.455175
304,196.567485
305,183.015967
306,162.560288
307,156.539011
308,154.680448
309,171.564374
310,178.827161
311,145.280271
312,156.817325
313,144.805762
314,154.755491
315,166.733555
316,155.515517
317,164.982029
318,142.135385
319,181.061414
320,162.704467
321,151.2747
322,153.191237
323,141.071687
324,163.252711
325,159.471374
326,161.831869
327,154.125024
328,148.582092
329,189.738234
330,173.685222
331,176.514982
332,193.695069
333,179.25856
334,162.371024
335,146.889311
336,188.567591
337,155.33051
338,218.376844
339,198.977951
340,177.825164
341,165.939177
342,172.576057
343,236.042711
344,173.472682
345,174.721271
346,163.304122
347,166.158705
348,171.368297
349,176.635868
350,181.945494
351,196.810256
352,184.928498
353,160.008867
354,224.247787
355,161.917081
356,184.459241
357,178.31669
358,170.679185
359,179.500375
360,178.707912
361,182.073152
362,250.813496
363,194.968861
364,200.100804
365,193.206571
366,179.115665
367,205.963241
368,211.359669
369,201.202344
370,203.843793
371,236.812684
372,167.848998
373,242.616631
374,176.244648
375,211.086928
376,164.986336
377,196.986623
378,185.261159
379,188.027881
380,196.02847
381,171.712937
382,173.875342
383,156.986685
384,184.551894
385,177.926006
386,167.695801
387,195.725349
388,206.474745
389,160.706456
390,198.22561
391,178.207848
392,200.397488
393,173.801419
394,162.763197
395,172.168616
396,157.037143
397,193.676822
398,212.132748
399,204.791221
400,195.798758
401,167.565948
402,183.633868
403,201.070576
404,186.511983
405,190.124436
406,205.367605
407,165.885272
408,185.703037
409,153.057583
410,174.280857
411,182.015532
412,171.418139
413,214.743292
414,208.661314
415,195.275736
416,160.807295
417,209.857577
418,332.623251
419,213.143483
420,368.207355
421,219.685218
422,466.266312
423,219.173278
424,394.401614
425,227.614668
426,277.838302
427,202.754006
428,321.038576
429,475.824303
430,479.393288
431,220.676625
432,477.57761
433,405.134526
434,193.567893
435,479.39473
436,464.865156
437,324.74076
438,468.499472
439,469.342993
440,470.336392
441,471.819409
442,474.010668
443,464.067812
444,455.857264
445,265.109554
446,464.161154
447,459.278595
448,460.851403
449,452.856762
450,445.465528
451,441.933539
452,275.90927
453,458.707505
454,459.621544
455,466.956278
456,456.993485
457,458.387776
458,221.630632
459,466.076255
460,292.446305
461,463.455951
462,468.244698
463,214.908702
464,241.361476
465,460.585797
466,459.465495
467,384.542917
468,454.14193
469,314.419384
470,310.698221
471,293.081292
472,461.551616
473,456.688617
474,397.355871
475,461.842745
476,459.772193
477,421.475708
478,455.655946
479,459.894748
480,459.73284
481,459.499285
482,465.206826
483,467.705738
484,459.820865
485,462.891661
486,468.246543
487,458.927182
488,462.387436
489,460.148222
490,447.010471
491,471.778404
492,460.92573
493,473.697526
494,463.51615
495,469.515528
496,435.450993
497,461.313455
498,402.660298
499,460.977871
500,460.472086
501,468.066918
502,463.534255
503,464.517942
504,461.019573
505,458.017385
506,461.634164
507,468.253966
508,459.255398
509,456.62794
510,455.89331
511,460.304737
512,458.532394
513,459.965687
514,461.759486
515,461.381167
516,460.36115
517,458.491547
518,457.18483
519,468.0059
520,458.514342
521,462.741322
522,461.68944
523,458.739903
524,458.800624
525,466.360017
526,466.645834
527,465.767275
528,472.383975
529,463.906885
530,469.607406
531,461.583127
532,472.874017
533,469.68658
534,471.280426
535,470.722454
536,470.006137
537,463.203271
538,456.341518
539,460.647885
540,459.310568
541,464.324085
542,466.275883
543,463.72281
544,464.176784
545,465.053369
546,465.058495
547,460.264783
548,460.741902
549,464.800924
550,459.779995
551,460.987592
552,468.007726
553,458.983427
554,457.217788
555,458.591774
556,463.433242
557,464.73501
558,462.164711
559,456.359554
560,463.59948
561,456.3373
562,455.039844
563,447.742411
564,442.286367
565,449.751841
566,453.409481
567,454.820662
568,458.474082
569,466.504457
570,459.998066
571,458.125588
572,454.651435
